Generation,Mutation_Rate,Crossover_Rate,Selection_Method,Max_Fitness_Session,Finished_Cars,Leader_Gates
62,0.050,0.90,Tournament,8000.73,0,8
63,0.050,0.90,Tournament,8000.73,0,4
64,0.050,0.90,Tournament,8000.73,0,4
65,0.050,0.90,Tournament,8000.88,0,8
66,0.050,0.90,Tournament,8000.88,0,8
67,0.050,0.90,Tournament,8000.88,0,4
68,0.050,0.90,Tournament,9000.92,0,9
69,0.050,0.90,Tournament,9000.92,0,4
70,0.050,0.90,Tournament,9000.92,0,4
71,0.050,0.90,Tournament,10000.63,0,10
72,0.050,0.90,Tournament,10000.63,0,9
73,0.050,0.90,Tournament,10000.63,0,9
74,0.050,0.90,Tournament,10000.66,0,10
75,0.050,0.90,Tournament,10000.66,0,9
76,0.050,0.90,Tournament,10000.66,0,8
77,0.050,0.90,Tournament,10000.80,0,10
78,0.050,0.90,Tournament,10000.80,0,9
79,0.050,0.90,Tournament,10000.80,0,8
80,0.050,0.90,Tournament,10000.80,0,10
81,0.050,0.90,Tournament,10000.80,0,9
82,0.050,0.90,Tournament,10000.80,0,9
83,0.050,0.90,Tournament,516000.00,1,16
84,0.050,0.90,Tournament,516000.00,0,4
85,0.050,0.90,Tournament,516000.00,0,9
86,0.050,0.90,Tournament,516000.00,0,10
87,0.050,0.90,Tournament,516000.00,0,4
88,0.050,0.90,Tournament,516000.00,0,10
89,0.050,0.90,Tournament,516000.00,2,16
90,0.050,0.90,Tournament,516000.00,0,5
91,0.050,0.90,Tournament,516000.00,0,10
92,0.050,0.90,Tournament,516000.00,4,16
93,0.050,0.90,Tournament,516000.00,0,9
94,0.050,0.90,Tournament,516000.00,0,10
95,0.050,0.90,Tournament,516000.00,6,16
96,0.050,0.90,Tournament,516000.00,0,9
97,0.050,0.90,Tournament,516000.00,0,10
98,0.050,0.90,Tournament,516000.00,4,16
99,0.050,0.90,Tournament,516000.00,0,9
100,0.050,0.90,Tournament,516000.00,3,16
101,0.050,0.90,Tournament,516000.00,9,16
102,0.050,0.90,Tournament,516000.00,0,9
103,0.050,0.90,Tournament,516000.00,7,16
104,0.050,0.90,Tournament,516000.00,12,16
105,0.050,0.90,Tournament,516000.00,0,10
106,0.050,0.90,Tournament,516000.00,11,16
107,0.050,0.90,Tournament,516000.00,13,16
108,0.050,0.90,Tournament,516000.00,1,16
109,0.050,0.90,Tournament,516000.00,16,16
110,0.050,0.90,Tournament,516000.00,24,16
111,0.050,0.90,Tournament,516000.00,3,16
112,0.050,0.90,Tournament,516000.00,16,16
113,0.050,0.90,Tournament,516000.00,34,16
114,0.050,0.90,Tournament,516000.00,15,16
115,0.050,0.90,Tournament,516000.00,10,16
116,0.050,0.90,Tournament,516000.00,30,16
117,0.050,0.90,Tournament,516000.00,21,16
118,0.050,0.90,Tournament,516000.00,12,16
119,0.050,0.90,Tournament,516000.00,31,16
120,0.050,0.90,Tournament,516000.00,18,16
121,0.050,0.90,Tournament,516000.00,21,16
122,0.050,0.90,Tournament,516000.00,29,16
123,0.050,0.90,Tournament,516000.00,21,16
124,0.050,0.90,Tournament,516000.00,24,16
125,0.050,0.90,Tournament,516000.00,26,16
126,0.050,0.90,Tournament,516000.00,23,16
127,0.050,0.90,Tournament,516000.00,15,16
128,0.050,0.90,Tournament,516000.00,30,16
129,0.050,0.90,Tournament,516000.00,25,16
130,0.050,0.90,Tournament,516000.00,17,16
131,0.050,0.90,Tournament,516000.00,33,16
